#Wave_number	#Intensity
2999.005859	5429.120605
2997.873047	5699.640137
2996.739258	5489.111816
2995.606445	5578.650391
2994.472656	5544.651367
2993.338867	5431.277832
2992.205078	5624.406738
2991.071289	5493.421875
2989.936523	5457.253906
2988.801758	5577.560547
2987.667969	5464.273926
2986.533203	5514.043945
2985.397461	5543.974609
2984.262695	5525.445313
2983.126953	5388.020020
2981.991211	5479.598145
2980.855469	5472.093750
2979.719727	5394.166016
2978.583984	5569.314453
2977.447266	5526.597168
2976.310547	5543.286133
2975.173828	5570.966309
2974.037109	5517.273926
2972.900391	5489.982910
2971.762695	5574.812500
2970.625977	5490.375000
2969.488281	5636.707520
2968.349609	5572.062012
2967.211914	5575.539063
2966.074219	5636.122559
2964.935547	5457.311035
2963.796875	5537.655273
2962.658203	5556.502441
2961.519531	5599.488281
2960.379883	5517.364746
2959.241211	5417.713379
2958.101563	5502.384766
2956.961914	5567.286133
2955.821289	5632.166016
2954.681641	5582.996094
2953.541016	5571.114746
2952.401367	5605.271484
2951.260742	5639.416992
2950.119141	5590.277344
2948.978516	5652.896973
2947.836914	5665.109863
2946.696289	5622.561035
2945.554688	5687.333984
2944.412109	5708.292969
2943.270508	5775.219238
2942.128906	5769.890137
2940.986328	5779.882324
2939.843750	5660.769043
2938.701172	5769.226563
2937.557617	5774.838379
2936.415039	5795.757324
2935.271484	5766.375000
2934.127930	5835.388184
2932.984375	5703.266602
2931.840820	5695.769531
2930.696289	5725.424316
2929.552734	5783.473633
2928.408203	5734.459961
2927.263672	5705.119629
2926.119141	5833.025391
2924.973633	5738.174316
2923.829102	5715.396973
2922.683594	5727.551270
2921.538086	5634.945801
2920.391602	5599.104004
2919.246094	5709.445801
2918.099609	5719.410645
2916.954102	5587.609863
2915.807617	5619.396973
2914.660156	5574.865234
2913.513672	5597.924316
2912.367188	5527.256348
2911.219727	5585.181641
2910.072266	5527.610840
2908.924805	5624.728516
2907.776367	5510.540039
2906.628906	5646.827148
2905.480469	5571.864746
2904.332031	5444.679199
2903.183594	5517.786133
2902.035156	5521.228027
2900.885742	5444.159180
2899.736328	5465.015625
2898.587891	5511.967773
2897.437500	5515.407715
2896.288086	5427.517090
2895.138672	5602.725098
2893.988281	5484.416504
2892.837891	5440.042480
2891.687500	5523.893066
2890.537109	5446.936523
2889.385742	5404.762207
2888.235352	5423.416992
2887.083984	5444.237305
2885.932617	5497.619141
2884.781250	5637.818848
2883.628906	5471.926758
2882.476563	5373.364258
2881.325195	5450.589844
2880.172852	5525.620117
2879.019531	5446.619141
2877.867188	5454.394043
2876.713867	5405.787598
2875.561523	5478.606934
2874.408203	5351.976563
2873.253906	5411.776367
2872.100586	5469.389160
2870.946289	5481.484375
2869.792969	5415.590820
2868.638672	5354.050781
2867.484375	5357.496582
2866.329102	5282.995117
2865.174805	5360.054199
2864.019531	5220.643066
2862.864258	5375.593750
2861.708984	5236.225586
2860.552734	5285.116699
2859.397461	5228.003906
2858.241211	5346.084961
2857.084961	5159.242676
2855.928711	5264.324219
2854.772461	5265.614746
2853.615234	5212.873535
2852.458984	5307.089355
2851.301758	5250.037598
2850.144531	5288.051270
2848.986328	5202.943848
2847.829102	5253.908691
2846.670898	5216.334961
2845.512695	5254.328125
2844.354492	5259.933105
2843.196289	5168.425781
2842.037109	5092.052246
2840.878906	5244.376465
2839.719727	5226.252441
2838.560547	5152.063477
2837.401367	5170.616211
2836.241211	5247.370605
2835.081055	5102.082520
2833.921875	5155.115723
2832.761719	5109.011230
2831.600586	5103.855469
2830.440430	5133.166992
2829.279297	5112.933105
2828.118164	5069.018555
2826.957031	5167.216797
2825.795898	5136.223145
2824.634766	5109.544434
2823.472656	5132.368652
2822.310547	5079.879883
2821.148438	5066.130371
2819.986328	5110.458496
2818.824219	5113.912109
2817.661133	5014.157227
2816.498047	5187.459473
2815.334961	5081.276367
2814.171875	5089.030273
2813.008789	5103.227539
2811.844727	5033.632813
2810.680664	5000.577637
2809.516602	5089.950195
2808.352539	5190.028809
2807.188477	5032.440918
2806.023438	5010.140137
2804.858398	4951.360352
2803.693359	5025.644531
2802.528320	4943.280762
2801.363281	5073.315430
2800.197266	4903.033691
2799.031250	5054.476074
2797.865234	5115.815918
2796.699219	5080.666504
2795.533203	5060.532715
2794.366211	4991.115723
2793.199219	5001.000488
2792.032227	4918.762207
2790.865234	5022.901367
2789.698242	4985.660156
2788.530273	5085.470703
2787.363281	5037.526855
2786.195313	5028.127930
2785.026367	5044.414063
2783.858398	5073.533691
2782.690430	5089.807129
2781.521484	5056.874512
2780.352539	5006.842773
2779.183594	5200.605957
2778.013672	5020.145508
2776.844727	5070.616211
2775.674805	5118.932617
2774.504883	5107.396973
2773.334961	5057.405273
2772.165039	5122.789551
2770.994141	5124.073730
2769.823242	5046.341797
2768.652344	5177.885742
2767.481445	5172.755371
2766.310547	5122.801758
2765.138672	5196.645020
2763.967773	5170.175781
2762.795898	5214.118164
2761.623047	5089.532227
2760.451172	5201.720215
2759.279297	5192.325684
2758.106445	5240.498535
2756.933594	5275.865234
2755.760742	5321.875977
2754.586914	5271.979004
2753.414063	5345.672852
2752.240234	5274.485352
2751.066406	5386.491699
2749.892578	5481.424805
2748.718750	5359.149414
2747.543945	5547.723145
2746.369141	5431.862305
2745.195313	5633.129395
2744.019531	5589.636230
2742.844727	5595.087891
2741.669922	5798.354004
2740.494141	5727.207520
2739.318359	5868.719238
2738.142578	5806.088379
2736.965820	5924.157227
2735.790039	5967.801758
2734.613281	5941.309082
2733.436523	6027.427246
2732.259766	6034.919922
2731.083008	6127.365234
2729.905273	6198.543945
2728.727539	6386.473145
2727.549805	6332.338867
2726.372070	6339.773438
2725.194336	6376.915039
