time,displacement,force
0.000000000000000000e+00,-3.104183145668139299e-02,-2.633979957436642372e-01
1.000000000000000021e-02,-5.737867993505521569e-02,1.335888235352260311e+00
2.000000000000000042e-02,-4.346251278764250159e-02,1.135805469393949663e+00
2.999999999999999889e-02,6.518123245774713748e-03,-2.066568864261539851e+00
4.000000000000000083e-02,-5.051618568471515427e-03,1.538101073014067177e+00
5.000000000000000278e-02,-1.794924133849408465e-02,2.080581080237168035e+00
5.999999999999999778e-02,1.004621229977267251e-02,3.864776804918675090e-02
7.000000000000000666e-02,-1.299772989765634462e-02,-4.628386981545482004e-01
8.000000000000000167e-02,-4.982212541667498107e-02,1.379138529130932156e+00
8.999999999999999667e-02,5.783587583075080335e-02,8.219908298296841886e-01
1.000000000000000056e-01,-3.033964626561699851e-02,6.284098290529509523e-01
1.100000000000000006e-01,-1.460086561073341629e-02,-5.504501996866628666e-01
1.199999999999999956e-01,-4.689008026742540192e-02,1.179350154594988487e+00
1.300000000000000044e-01,-7.772351563623157433e-02,-1.817822277410777287e+00
1.400000000000000133e-01,-1.547449311875834406e-02,3.083518092634790486e-01
1.499999999999999944e-01,-2.442807292516668838e-02,-1.284666002711389865e+00
1.600000000000000033e-01,1.453821947437629152e-02,-1.600027085945597616e+00
1.700000000000000122e-01,6.620399180246300253e-02,3.411391382013348128e+00
1.799999999999999933e-01,7.877161621081489595e-02,1.167843661492321994e+00
1.900000000000000022e-01,-4.047694242519872532e-02,3.145391775597828676e+00
2.000000000000000111e-01,3.633352818781190180e-02,1.059475222326871080e+00
2.099999999999999922e-01,-6.947740958402541522e-02,-1.469218022178077065e+00
2.200000000000000011e-01,-1.046914136932993594e-02,6.590554920782546455e-01
2.300000000000000100e-01,3.333202947316699083e-02,-1.803779238191621559e+00
2.399999999999999911e-01,3.598601242275684120e-02,2.738038264496063690e+00
2.500000000000000000e-01,4.280221979478536498e-02,2.625966683928862455e+00
2.600000000000000089e-01,-8.613594346384735589e-03,8.930944179093771584e-01
