x,y
0.000000000000000000e+00,5.010506117946017524e-01
2.040816326530612082e-02,4.860982708707474731e-01
4.081632653061224164e-02,4.722361829977612668e-01
6.122448979591836593e-02,4.603799970953458276e-01
8.163265306122448328e-02,4.455723077215724692e-01
1.020408163265306006e-01,4.329675362162977992e-01
1.224489795918367319e-01,4.218485632449656686e-01
1.428571428571428492e-01,4.110561326681151928e-01
1.632653061224489666e-01,4.005008434337777312e-01
1.836734693877550839e-01,3.903477093934951681e-01
2.040816326530612013e-01,3.846855543085750950e-01
2.244897959183673186e-01,3.742333565680429075e-01
2.448979591836734637e-01,3.676028401854480876e-01
2.653061224489795533e-01,3.627784476305671024e-01
2.857142857142856984e-01,3.581990548299226473e-01
3.061224489795917880e-01,3.511296282048963491e-01
3.265306122448979331e-01,3.486956223123592880e-01
3.469387755102040782e-01,3.461846775655527675e-01
3.673469387755101678e-01,3.442738144650988596e-01
3.877551020408163129e-01,3.426742916510123194e-01
4.081632653061224025e-01,3.448044094294810402e-01
4.285714285714285476e-01,3.449531948409488291e-01
4.489795918367346372e-01,3.450101500005856581e-01
4.693877551020407823e-01,3.495731723577722438e-01
4.897959183673469274e-01,3.512093005599195572e-01
5.102040816326530726e-01,3.572123198212364126e-01
5.306122448979591066e-01,3.588123880458993775e-01
5.510204081632652517e-01,3.637660859695756588e-01
5.714285714285713969e-01,3.695524927534733495e-01
5.918367346938775420e-01,3.743206491169430716e-01
6.122448979591835760e-01,3.782976855758203305e-01
6.326530612244897211e-01,3.858326404629291995e-01
6.530612244897958663e-01,3.903621945501249968e-01
6.734693877551020114e-01,3.941023877929731856e-01
6.938775510204081565e-01,3.971688080412865696e-01
7.142857142857141906e-01,4.004624452854791961e-01
7.346938775510203357e-01,4.026251420585665874e-01
7.551020408163264808e-01,4.023966900046462292e-01
7.755102040816326259e-01,4.022661236557580344e-01
7.959183673469386600e-01,4.020257241810720195e-01
8.163265306122448051e-01,3.955577807332568141e-01
8.367346938775509502e-01,3.861109417104239272e-01
8.571428571428570953e-01,3.765101731428682763e-01
8.775510204081632404e-01,3.642592342550017848e-01
8.979591836734692745e-01,3.477582003820435808e-01
9.183673469387754196e-01,3.278191547987862053e-01
9.387755102040815647e-01,3.031062693442055922e-01
9.591836734693877098e-01,2.748569770142963442e-01
9.795918367346938549e-01,2.394164191803705710e-01
1.000000000000000000e+00,2.000727304127069284e-01
